layers,output_dim,layers_type,is_bias,dataset_combination,weight_decay
4,16,GAT,True,"[0.21, 0.79]",0.0005
5,16,GAT,True,"[0.21, 0.79]",0.0005
6,16,GAT,True,"[0.21, 0.79]",0.0005
4,16,GAT,False,"[0.21, 0.79]",0.0005
5,16,GAT,False,"[0.21, 0.79]",0.0005
6,16,GAT,False,"[0.21, 0.79]",0.0005
4,16,SAGE,True,"[0.21, 0.79]",0.0005
5,16,SAGE,True,"[0.21, 0.79]",0.0005
6,16,SAGE,True,"[0.21, 0.79]",0.0005
4,16,SAGE,False,"[0.21, 0.79]",0.0005
5,16,SAGE,False,"[0.21, 0.79]",0.0005
6,16,SAGE,False,"[0.21, 0.79]",0.0005
4,16,GAT,True,"[0.135, 0.865]",0.0005
5,16,GAT,True,"[0.135, 0.865]",0.0005
6,16,GAT,True,"[0.135, 0.865]",0.0005
4,16,GAT,False,"[0.135, 0.865]",0.0005
5,16,GAT,False,"[0.135, 0.865]",0.0005
6,16,GAT,False,"[0.135, 0.865]",0.0005
4,16,SAGE,True,"[0.135, 0.865]",0.0005
5,16,SAGE,True,"[0.135, 0.865]",0.0005
6,16,SAGE,True,"[0.135, 0.865]",0.0005
4,16,SAGE,False,"[0.135, 0.865]",0.0005
5,16,SAGE,False,"[0.135, 0.865]",0.0005
6,16,SAGE,False,"[0.135, 0.865]",0.0005
4,16,GAT,True,"[0.065, 0.935]",0.0005
5,16,GAT,True,"[0.065, 0.935]",0.0005
6,16,GAT,True,"[0.065, 0.935]",0.0005
4,16,GAT,False,"[0.065, 0.935]",0.0005
5,16,GAT,False,"[0.065, 0.935]",0.0005
6,16,GAT,False,"[0.065, 0.935]",0.0005
4,16,SAGE,True,"[0.065, 0.935]",0.0005
5,16,SAGE,True,"[0.065, 0.935]",0.0005
6,16,SAGE,True,"[0.065, 0.935]",0.0005
4,16,SAGE,False,"[0.065, 0.935]",0.0005
5,16,SAGE,False,"[0.065, 0.935]",0.0005
6,16,SAGE,False,"[0.065, 0.935]",0.0005
4,64,GAT,True,"[0.21, 0.79]",0.0005
5,64,GAT,True,"[0.21, 0.79]",0.0005
6,64,GAT,True,"[0.21, 0.79]",0.0005
4,64,GAT,False,"[0.21, 0.79]",0.0005
5,64,GAT,False,"[0.21, 0.79]",0.0005
6,64,GAT,False,"[0.21, 0.79]",0.0005
4,64,SAGE,True,"[0.21, 0.79]",0.0005
5,64,SAGE,True,"[0.21, 0.79]",0.0005
6,64,SAGE,True,"[0.21, 0.79]",0.0005
4,64,SAGE,False,"[0.21, 0.79]",0.0005
5,64,SAGE,False,"[0.21, 0.79]",0.0005
6,64,SAGE,False,"[0.21, 0.79]",0.0005
4,64,GAT,True,"[0.135, 0.865]",0.0005
5,64,GAT,True,"[0.135, 0.865]",0.0005
6,64,GAT,True,"[0.135, 0.865]",0.0005
4,64,GAT,False,"[0.135, 0.865]",0.0005
5,64,GAT,False,"[0.135, 0.865]",0.0005
6,64,GAT,False,"[0.135, 0.865]",0.0005
4,64,SAGE,True,"[0.135, 0.865]",0.0005
5,64,SAGE,True,"[0.135, 0.865]",0.0005
6,64,SAGE,True,"[0.135, 0.865]",0.0005
4,64,SAGE,False,"[0.135, 0.865]",0.0005
5,64,SAGE,False,"[0.135, 0.865]",0.0005
6,64,SAGE,False,"[0.135, 0.865]",0.0005
4,64,GAT,True,"[0.065, 0.935]",0.0005
5,64,GAT,True,"[0.065, 0.935]",0.0005
6,64,GAT,True,"[0.065, 0.935]",0.0005
4,64,GAT,False,"[0.065, 0.935]",0.0005
5,64,GAT,False,"[0.065, 0.935]",0.0005
6,64,GAT,False,"[0.065, 0.935]",0.0005
4,64,SAGE,True,"[0.065, 0.935]",0.0005
5,64,SAGE,True,"[0.065, 0.935]",0.0005
6,64,SAGE,True,"[0.065, 0.935]",0.0005
4,64,SAGE,False,"[0.065, 0.935]",0.0005
5,64,SAGE,False,"[0.065, 0.935]",0.0005
6,64,SAGE,False,"[0.065, 0.935]",0.0005
